hour,date,users,event_count,event_name,day
16,4/15/2019,36,95,6,0
16,4/15/2019,3,14,6,21
16,4/15/2019,4,29,7,7
16,4/15/2019,1,1,1,45
16,4/15/2019,3,3,0,21
16,4/15/2019,5,40,3,7
16,4/15/2019,22,52,7,0
16,4/15/2019,1,1,1,14
16,4/15/2019,2,2,4,1
16,4/15/2019,1,1,0,14
16,4/15/2019,35,80,0,0
17,4/15/2019,5,15,3,7
17,4/15/2019,45,122,6,0
17,4/15/2019,1,1,2,14
17,4/15/2019,23,120,3,0
17,4/15/2019,50,60,9,21
17,4/15/2019,27,115,7,0
17,4/15/2019,2,5,3,21
17,4/15/2019,12,13,1,7
17,4/15/2019,1,1,4,1
17,4/15/2019,53,68,1,0
17,4/15/2019,2,11,6,21
17,4/15/2019,7,11,0,1
17,4/15/2019,3,4,4,7
17,4/15/2019,2,4,6,14
17,4/15/2019,5,7,2,7
17,4/15/2019,34,44,2,0
17,4/15/2019,3,3,1,21
17,4/15/2019,3,4,5,1
17,4/15/2019,7,13,0,7
17,4/15/2019,11,15,9,45
17,4/15/2019,4,4,1,14
17,4/15/2019,1,1,4,0
17,4/15/2019,9,26,6,7
17,4/15/2019,1,1,7,14
17,4/15/2019,4,14,7,1
17,4/15/2019,37,70,0,0
17,4/15/2019,2,4,0,21
17,4/15/2019,2,2,2,21
17,4/15/2019,79,101,9,7
17,4/15/2019,1,1,7,21
17,4/15/2019,4,9,7,7
17,4/15/2019,43,48,9,14
17,4/15/2019,103,116,9,0
17,4/15/2019,9,11,1,1
17,4/15/2019,6,7,2,1
17,4/15/2019,2,4,5,7
17,4/15/2019,1,1,9,90
17,4/15/2019,1,1,0,14
17,4/15/2019,10,23,5,0
17,4/15/2019,10,20,6,1
17,4/15/2019,104,118,9,1
17,4/15/2019,4,15,3,1
18,4/15/2019,1,1,4,7
18,4/15/2019,9,11,1,1
18,4/15/2019,1,1,5,45
18,4/15/2019,2,5,3,14
18,4/15/2019,2,2,4,0
18,4/15/2019,4,4,1,7
18,4/15/2019,52,62,9,21
18,4/15/2019,4,11,3,1
18,4/15/2019,3,12,7,1
18,4/15/2019,2,2,2,7
18,4/15/2019,17,47,7,0
18,4/15/2019,4,9,0,1
18,4/15/2019,100,115,9,1
18,4/15/2019,1,1,4,45
18,4/15/2019,116,136,9,0
18,4/15/2019,12,15,9,45
18,4/15/2019,5,10,6,1
18,4/15/2019,2,7,3,7
18,4/15/2019,20,33,0,0
18,4/15/2019,16,19,2,0
18,4/15/2019,29,33,1,0
18,4/15/2019,3,3,5,1
18,4/15/2019,2,3,0,14
18,4/15/2019,1,3,6,14
18,4/15/2019,15,42,3,0
18,4/15/2019,3,5,2,1
18,4/15/2019,1,6,7,7
18,4/15/2019,2,2,1,14
18,4/15/2019,2,3,0,7
18,4/15/2019,2,2,2,14
18,4/15/2019,1,1,1,21
18,4/15/2019,1,2,6,45
18,4/15/2019,97,119,9,7
18,4/15/2019,2,5,6,7
18,4/15/2019,23,80,6,0
18,4/15/2019,5,11,5,0
18,4/15/2019,57,67,9,14
19,4/15/2019,3,3,2,1
19,4/15/2019,2,2,1,21
19,4/15/2019,1,2,5,7
19,4/15/2019,1,1,2,7
19,4/15/2019,2,3,1,1
19,4/15/2019,48,52,9,21
19,4/15/2019,10,19,0,0
19,4/15/2019,1,3,7,1
19,4/15/2019,40,49,9,14
19,4/15/2019,1,1,5,1
19,4/15/2019,93,114,9,0
19,4/15/2019,3,3,1,7
19,4/15/2019,1,3,3,7
19,4/15/2019,3,4,4,7
19,4/15/2019,2,11,6,7
19,4/15/2019,15,17,1,0
19,4/15/2019,3,16,6,1
19,4/15/2019,7,8,2,0
19,4/15/2019,4,9,3,0
19,4/15/2019,1,3,0,7
19,4/15/2019,71,89,9,7
19,4/15/2019,8,12,9,45
19,4/15/2019,3,4,4,0
19,4/15/2019,2,4,3,1
19,4/15/2019,1,1,7,7
19,4/15/2019,1,2,6,14
19,4/15/2019,9,37,6,0
19,4/15/2019,1,1,1,45
19,4/15/2019,3,6,0,1
19,4/15/2019,7,17,7,0
19,4/15/2019,88,110,9,1
20,4/15/2019,4,43,7,0
20,4/15/2019,5,14,0,0
20,4/15/2019,1,1,1,7
20,4/15/2019,3,4,6,1
20,4/15/2019,31,35,9,21
20,4/15/2019,3,3,1,1
20,4/15/2019,28,29,9,14
20,4/15/2019,2,12,3,1
20,4/15/2019,7,27,6,0
20,4/15/2019,3,38,3,0
20,4/15/2019,1,1,5,0
20,4/15/2019,2,10,7,1
20,4/15/2019,10,15,1,0
20,4/15/2019,5,8,2,0
20,4/15/2019,1,2,8,1
20,4/15/2019,1,1,4,0
20,4/15/2019,65,76,9,0
20,4/15/2019,1,1,1,21
20,4/15/2019,41,48,9,7
20,4/15/2019,9,12,9,45
20,4/15/2019,2,2,0,1
20,4/15/2019,60,75,9,1
20,4/15/2019,2,2,2,1
21,4/15/2019,2,5,7,1
21,4/15/2019,4,4,4,0
21,4/15/2019,5,7,0,0
21,4/15/2019,24,28,9,7
21,4/15/2019,1,2,5,7
21,4/15/2019,3,11,3,7
21,4/15/2019,7,8,1,0
21,4/15/2019,4,9,7,0
21,4/15/2019,1,1,1,7
21,4/15/2019,4,4,9,45
21,4/15/2019,2,4,6,1
21,4/15/2019,5,6,2,0
21,4/15/2019,7,20,6,0
21,4/15/2019,3,3,2,1
21,4/15/2019,1,1,2,7
21,4/15/2019,1,2,5,1
21,4/15/2019,15,17,9,0
21,4/15/2019,4,4,1,1
21,4/15/2019,3,12,7,7
21,4/15/2019,9,11,9,14
21,4/15/2019,24,26,9,1
21,4/15/2019,2,4,6,7
21,4/15/2019,2,8,3,1
21,4/15/2019,6,6,9,21
21,4/15/2019,2,3,0,7
21,4/15/2019,3,6,0,1
21,4/15/2019,1,1,4,7
21,4/15/2019,1,1,1,21
21,4/15/2019,6,18,3,0
22,4/15/2019,1,10,3,0
22,4/15/2019,1,1,1,14
22,4/15/2019,1,1,4,0
22,4/15/2019,1,1,9,45
22,4/15/2019,3,3,1,1
22,4/15/2019,9,10,9,14
22,4/15/2019,1,1,7,0
22,4/15/2019,5,7,0,0
22,4/15/2019,10,11,9,21
22,4/15/2019,1,1,1,21
22,4/15/2019,1,2,6,1
